t,seq,dt_s,fps_inst,frame_age_ms,camera_to_command_ms,command_exec_ms,command_exec_ms_ran,face_detect_ms,face_detect_ms_ran,face_id_ms_ran,flying,hand_detect_ms,hand_detect_ms_ran,mode,mode_manager_ms,mode_manager_ms_ran
1789866661.5564027,10,,,0.0,0.0619000056758523,0.005999987479299307,1,,0,0,0,,0,hover,0.029699993319809437,1
1789866661.637189,19,0.08078622817993164,12.378347430365775,0.9970664978027344,42.2464000293985,0.00890000956133008,1,,0,0,0,42.18530002981424,1,hover,0.029699993319809437,1
1789866661.660132,39,0.02294301986694336,43.58624129689286,1.0023117065429688,0.061700004152953625,0.010500021744519472,1,,0,0,0,,0,hover,0.029199989512562752,1
1789866661.7219605,44,0.06182861328125,16.173741362290226,1.0025501251220703,36.90659999847412,0.008200004231184721,1,9.321599965915084,1,0,0,27.535900007933378,1,hover,0.027799978852272034,1
1789866661.7389202,61,0.016959667205810547,58.96342114881772,1.9958019256591797,0.03759999526664615,0.005399982910603285,1,,0,0,0,,0,hover,0.014599994756281376,1
1789866661.7877178,66,0.048797607421875,20.492808005003127,2.3746490478515625,30.838500009849668,0.004699977580457926,1,,0,0,0,30.805200047325343,1,hover,0.016000005416572094,1
1789866661.8031912,81,0.015473365783691406,64.62718027734977,1.9903182983398438,0.043000036384910345,0.006399990525096655,1,,0,0,0,,0,hover,0.017400016076862812,1
1789866661.8482537,86,0.04506254196166992,22.19138016782536,0.9963512420654297,29.450399975758046,0.005900044925510883,1,5.977499997243285,1,0,0,23.442399979103357,1,hover,0.017199956346303225,1
1789866661.857118,104,0.008864164352416992,112.81379273245649,1.6956329345703125,0.030700000934302807,0.004600035026669502,1,,0,0,0,,0,hover,0.012999982573091984,1
1789866661.8933852,109,0.03626728057861328,27.57306266270478,2.760171890258789,24.537399993278086,0.008700008038431406,1,,0,0,0,24.488399969413877,1,hover,0.023500004317611456,1
1789866661.901615,125,0.008229732513427734,121.51063213395909,1.5025138854980469,0.034400029107928276,0.005199981387704611,1,,0,0,0,,0,hover,0.014999997802078724,1
1789866661.942505,126,0.04088997840881348,24.455870091250983,6.98089599609375,22.00029999949038,0.00500003807246685,1,4.461399978026748,1,0,0,17.5112999859266,1,hover,0.016000005416572094,1
1789866661.951519,127,0.009014129638671875,110.93694456199746,5.024194717407227,0.03170000854879618,0.004599976819008589,1,,0,0,0,,0,hover,0.013599987141788006,1
1789866662.0143127,128,0.06279373168945312,15.925156430350526,9.971857070922852,17.759099951945245,0.004200031980872154,1,,0,0,0,17.73189997766167,1,hover,0.012999982573091984,1
1789866662.0222912,129,0.007978439331054688,125.337795840306,8.975744247436523,0.024500011932104826,0.00400003045797348,1,,0,0,0,,0,hover,0.010499963536858559,1
