t,seq,dt_s,fps_inst,frame_age_ms,camera_to_command_ms,assoc_d,assoc_hands,assoc_mode,assoc_ms,assoc_ms_ran,assoc_ok,assoc_pose_ms,assoc_pose_ms_ran,assoc_reason,assoc_skeleton_hits,command_exec_ms,command_exec_ms_ran,face_detect_ms,face_detect_ms_ran,face_id_ms,face_id_ms_ran,flying,hand_detect_ms,hand_detect_ms_ran,mode,mode_manager_ms,mode_manager_ms_ran,rule_infer_ms,rule_infer_ms_ran
1790343161.8528035,9,,,0.8220672607421875,0.062399999990248034,,0,,,0,0,,,no_face,0,0.003899999967416079,1,,0,,0,0,,0,hover,0.023199999986900366,1,,
1790343161.9342978,22,0.08149433135986328,12.270792131347056,0.9963512420654297,45.14169999998785,,0,,,0,0,,,no_face,0,0.018000000011397788,1,,0,,0,0,45.005300000013904,1,hover,0.05859999998847343,1,,
1790343161.9432676,38,0.008969783782958984,111.48540747435011,3.1723976135253906,0.03800000001774606,,0,,,0,0,,,no_face,0,0.003999999989900971,1,,0,,0,0,,0,hover,0.012600000047768845,1,,
1790343161.9871643,41,0.04389667510986328,22.7807686458537,1.6946792602539062,36.48279999998749,,0,,,0,0,,,no_face,0,0.003199999980552093,1,10.350500000015472,1,,0,0,26.099299999998493,1,hover,0.013599999988400668,1,,
1790343161.9931338,57,0.005969524383544922,167.51753334930905,0.9801387786865234,0.04200000000764703,,0,,,0,0,,,no_face,0,0.0033000000030369847,1,,0,,0,0,,0,hover,0.013400000000274304,1,,
1790343162.0260482,59,0.03291440010070801,30.38183885898894,1.9946098327636719,26.73939999999675,,0,,,0,0,,,no_face,0,0.003899999967416079,1,,0,,0,0,26.699100000030285,1,hover,0.01630000002705856,1,,
1790343162.0320334,72,0.005985260009765625,167.07711918419375,1.9958019256591797,0.04580000000942164,,0,,,0,0,,,no_face,0,0.0050999999530176865,1,,0,,0,0,,0,hover,0.016100000038932194,1,,
1790343162.075913,74,0.04387950897216797,22.78968072852144,4.985332489013672,34.81389999996054,,0,,,0,0,,,no_face,0,0.002900000026784255,1,9.372500000040418,1,,0,0,25.40739999994912,1,hover,0.013599999988400668,1,,
1790343162.0828938,85,0.00698089599609375,143.248087431694,0.9961128234863281,0.041699999997035775,,0,,,0,0,,,no_face,0,0.003999999989900971,1,,0,,0,0,,0,hover,0.01679999996895276,1,,
1790343162.1136365,87,0.030742645263671875,32.5281052239732,1.9910335540771484,24.211199999967903,,0,,,0,0,,,no_face,0,0.0033000000030369847,1,,0,,0,0,24.159199999985503,1,hover,0.016200000004573667,1,,
1790343162.1196232,100,0.005986690521240234,167.03719633612107,0.9987354278564453,0.04379999995762773,,0,,,0,0,,,no_face,0,0.0043999999661537,1,,0,,0,0,,0,hover,0.014899999996487168,1,,
1790343162.1575186,103,0.03789544105529785,26.388398502626696,0.7936954498291016,31.228699999985565,,0,,,0,0,,,no_face,0,0.005999999984851456,1,6.301899999982652,1,,0,0,24.88239999996722,1,hover,0.01759999997830164,1,,
1790343162.1625051,119,0.00498652458190918,200.5404733444896,2.9921531677246094,0.042600000028869545,,0,,,0,0,,,no_face,0,0.003700000036133133,1,,0,,0,0,,0,hover,0.014899999996487168,1,,
1790343162.1896353,121,0.027130126953125,36.85939257592801,2.9921531677246094,22.39580000002661,,0,,,0,0,,,no_face,0,0.003900000024259498,1,,0,,0,0,22.355200000049535,1,hover,0.015299999972739897,1,,
1790343162.1939366,126,0.004301309585571289,232.48733440496648,12.915372848510742,0.035500000024057954,,0,,,0,0,,,no_face,0,0.00310000001491062,1,,0,,0,0,,0,hover,0.011300000039682345,1,,
1790343162.2287023,127,0.03476572036743164,28.763966039857905,0.4296302795410156,25.47289999995428,,0,,,0,0,,,no_face,0,0.003199999980552093,1,4.485200000033274,1,,0,0,20.95329999997375,1,hover,0.014200000009623182,1,,
1790343162.2473896,128,0.01868724822998047,53.51242663944884,9.648799896240234,0.04189999998516214,,0,,,0,0,,,no_face,0,0.0034000000255218765,1,,0,,0,0,,0,hover,0.014700000008360803,1,,
1790343162.3230715,129,0.07568192481994629,13.213194595394933,0.9953975677490234,17.764800000009018,,0,,,0,0,,,no_face,0,0.002900000026784255,1,,0,,0,0,17.728900000008707,1,hover,0.013899999999011925,1,,
1790343162.3546429,130,0.031571388244628906,31.67424860293007,17.6088809967041,0.03939999999147403,,0,,,0,0,,,no_face,0,0.0032000000373955118,1,,0,,0,0,,0,hover,0.013499999965915777,1,,
1790343162.3975184,131,0.04287552833557129,23.323327754082953,2.0351409912109375,23.48299999999881,,0,,,0,0,,,no_face,0,0.005000000044219632,1,5.224300000008952,1,,0,0,18.21830000000091,1,hover,0.017799999966428004,1,,
1790343162.4069927,132,0.00947427749633789,105.54894559363834,1.9924640655517578,0.05119999997305058,,0,,,0,0,,,no_face,0,0.004699999976764957,1,,0,,0,0,,0,hover,0.0173000000245338,1,,
1790343162.489801,133,0.08280825614929199,12.076090555477178,1.9946098327636719,19.099100000005365,,0,,,0,0,,,no_face,0,0.0033000000030369847,1,,0,,0,0,19.06059999998888,1,hover,0.014299999975264654,1,,
1790343162.5095646,134,0.019763708114624023,50.59779238796067,5.132436752319336,0.040400000045792694,,0,,,0,0,,,no_face,0,0.0034999999911633495,1,,0,,0,0,,0,hover,0.013899999999011925,1,,
1790343162.5641618,135,0.05459713935852051,18.315977938575614,5.317211151123047,23.387899999988804,,0,,,0,0,,,no_face,0,0.002999999992425728,1,4.612499999950614,1,,0,0,18.739100000004782,1,hover,0.014500000020234438,1,,
1790343162.5910094,136,0.02684760093688965,37.24727592423206,1.9977092742919922,0.06990000002815577,,0,,,0,0,,,no_face,0,0.006400000017947605,1,,0,,0,0,,0,hover,0.021800000013172394,1,,
1790343162.656632,137,0.06562256813049316,15.238659938017955,1.3031959533691406,19.012099999997645,,0,,,0,0,,,no_face,0,0.0028000000042993634,1,,0,,0,0,18.97639999998546,1,hover,0.013899999999011925,1,,
1790343162.6789389,138,0.02230691909790039,44.82914003548449,8.922338485717773,0.04410000002508241,,0,,,0,0,,,no_face,0,0.0034999999911633495,1,,0,,0,0,,0,hover,0.01500000001897206,1,,
1790343162.7323449,139,0.0534060001373291,18.72448783710787,5.382299423217773,22.1875999999952,,0,,,0,0,,,no_face,0,0.0028999999699408363,1,4.9639000000070155,1,,0,0,17.19190000000026,1,hover,0.01370000001088556,1,,
1790343162.739975,140,0.007630109786987305,131.059713151892,0.0,0.03929999996898914,,0,,,0,0,,,no_face,0,0.00310000001491062,1,,0,,0,0,,0,hover,0.014799999974002276,1,,
1790343162.822802,141,0.08282709121704102,12.073344425190413,1.7552375793457031,19.492399999990084,,0,,,0,0,,,no_face,0,0.0033000000030369847,1,,0,,0,0,19.453699999985474,1,hover,0.015599999983351154,1,,
1790343162.848449,142,0.02564692497253418,38.991029180727146,11.683464050292969,0.0403000000233078,,0,,,0,0,,,no_face,0,0.002999999992425728,1,,0,,0,0,,0,hover,0.013799999976527033,1,,
1790343162.8973193,143,0.04887032508850098,20.46231528415383,2.114534378051758,23.94240000000991,,0,,,0,0,,,no_face,0,0.0033999999686784577,1,5.1334000000338165,1,,0,0,18.773399999986395,1,hover,0.015400000052068208,1,,
1790343162.9109166,144,0.013597249984741211,73.544282933843,26.561975479125977,0.0382999999715139,,0,,,0,0,,,no_face,0,0.0033000000030369847,1,,0,,0,0,,0,hover,0.012599999990925426,1,,
1790343162.9937193,145,0.08280277252197266,12.076890296573568,1.3949871063232422,17.59569999995847,,0,,,0,0,,,no_face,0,0.00310000001491062,1,,0,,0,0,17.557599999975082,1,hover,0.013999999964653398,1,,
1790343163.0059934,146,0.012274026870727539,81.4728540626639,2.2461414337158203,0.03789999999526117,,0,,,0,0,,,no_face,0,0.0034000000255218765,1,,0,,0,0,,0,hover,0.012500000025283953,1,,
1790343163.0600128,147,0.05401945114135742,18.511850432971126,1.0311603546142578,22.62300000001005,,0,,,0,0,,,no_face,0,0.0033999999686784577,1,4.538200000013148,1,,0,0,18.051500000012766,1,hover,0.013599999988400668,1,,
1790343163.0787766,148,0.01876378059387207,53.294163987751105,7.792949676513672,0.03629999997656341,,0,,,0,0,,,no_face,0,0.0032000000373955118,1,,0,,0,0,,0,hover,0.011999999969702912,1,,
1790343163.158772,149,0.07999539375305176,12.5007197675285,2.3446083068847656,19.687099999998736,,0,,,0,0,,,no_face,0,0.002900000026784255,1,,0,,0,0,19.640499999979966,1,hover,0.024899999971239595,1,,
1790343163.173309,150,0.01453709602355957,68.7895297918751,0.9655952453613281,0.06819999998697313,,0,,,0,0,,,no_face,0,0.0057999999967250915,1,,0,,0,0,,0,hover,0.024100000018734136,1,,
1790343163.2291074,151,0.05579829216003418,17.92169547289935,0.9975433349609375,23.26859999999442,,0,,,0,0,,,no_face,0,0.00310000001491062,1,4.574600000012197,1,,0,0,18.66139999998495,1,hover,0.013899999999011925,1,,
1790343163.2471797,152,0.01807236671447754,55.33309586944763,3.073453903198242,0.04760000001624576,,0,,,0,0,,,no_face,0,0.004300000000512227,1,,0,,0,0,,0,hover,0.015800000028320937,1,,
