t,seq,dt_s,fps_inst,frame_age_ms,camera_to_command_ms,command_exec_ms,command_exec_ms_ran,face_detect_ms,face_detect_ms_ran,face_id_ms_ran,flying,hand_detect_ms,hand_detect_ms_ran,mode,mode_manager_ms,mode_manager_ms_ran
1787924517.8438084,6,,,0.9975433349609375,0.05469997995533049,0.0042000028770416975,1,,0,0,0,,0,land,0.029799994081258774,1
1787924517.9301324,15,0.08632397651672363,11.584267087212659,14.993667602539062,43.33400001632981,0.008000002708286047,1,,0,0,0,43.265300017083064,1,land,0.03809999907389283,1
1787924517.955103,34,0.024970531463623047,40.04720530104837,3.0274391174316406,0.07090001599863172,0.009399984264746308,1,,0,0,0,,0,land,0.03399999695830047,1
1787924518.0308645,39,0.07576155662536621,13.199306410042578,4.026889801025391,44.37889999826439,0.011199997970834374,1,11.590000009164214,1,0,0,30.972299980930984,1,land,0.054500007536262274,1
1787924518.048815,57,0.01795053482055664,55.70864656660911,1.9943714141845703,0.433700013672933,0.00999998883344233,1,,0,0,0,,0,land,0.04169999738223851,1
1787924518.0973449,63,0.048529863357543945,20.605868857130226,1.4388561248779297,29.92969998740591,0.006100017344579101,1,,0,0,0,29.760300007183105,1,land,0.023499975213781,1
1787924518.1113355,78,0.013990640640258789,71.47635520867061,2.0241737365722656,0.18920001457445323,0.007199996616691351,1,,0,0,0,,0,land,0.02440001117065549,1
1787924518.1571827,83,0.045847177505493164,21.811593524599967,1.9946098327636719,34.40330000012182,0.007700000423938036,1,7.612699992023408,1,0,0,26.38900000602007,1,land,0.03780002589337528,1
1787924518.1681888,102,0.01100611686706543,90.85856638433377,2.0294189453125,0.3829000052064657,0.005499983672052622,1,,0,0,0,,0,land,0.02060001133941114,1
1787924518.204633,107,0.03644418716430664,27.439218097842442,0.9953975677490234,24.724099988816306,0.0051000097300857306,1,,0,0,0,24.518599995644763,1,land,0.021099986042827368,1
1787924518.2153826,121,0.010749578475952148,93.02690354204094,0.0,0.19459999748505652,0.005900015821680427,1,,0,0,0,,0,land,0.026399997295811772,1
