t,seq,frame_age_ms,round,hold,cued_label,cued_name,phase,hand_detected,bbox_area,delta_s,svm_label,svm_name,svm_prob,svm_margin,rule_name,rule_conf,battery
1789896812.172476,156,3.08,0,0,5,FORWARD,hold,0,,,,,,,,,85.0
1789896812.219476,158,8.38,0,0,5,FORWARD,hold,0,,,,,,,,,85.0
1789896812.3411903,160,0.0,0,0,5,FORWARD,hold,0,,,,,,,,,85.0
1789896812.4183195,162,13.96,0,0,5,FORWARD,hold,0,,,,,,,,,85.0
1789896812.5107954,164,4.25,0,0,5,FORWARD,hold,0,,,,,,,,,85.0
1789896812.5720246,166,2.09,0,0,5,FORWARD,hold,1,0.02771565,0.336653,6,BACK,0.9802,0.9621,FORWARD,0.6542,85.0
1789896812.6796968,168,8.13,0,0,5,FORWARD,hold,0,,,,,,,,,85.0
1789896812.758667,170,11.03,0,0,5,FORWARD,hold,1,0.03260086,0.176262,6,BACK,0.9987,0.9983,CENTER,0.5,85.0
1789896812.851387,172,14.56,0,0,5,FORWARD,hold,1,0.02727339,-0.163415,2,RIGHT,0.7425,0.5674,CENTER,0.5,85.0
1789896812.9124432,174,7.29,0,0,5,FORWARD,hold,1,0.0327539,0.200947,6,BACK,0.9952,0.9908,FORWARD,0.6818,85.0
1789896813.0224216,176,13.33,0,0,5,FORWARD,hold,1,0.03779738,0.153981,6,BACK,0.983,0.9663,DOWN,0.7024,85.0
1789896813.0851045,178,13.4,0,0,5,FORWARD,hold,1,0.04305206,0.139022,6,BACK,0.8125,0.6254,DOWN,0.7353,85.0
1789896813.177557,180,4.74,0,0,5,FORWARD,hold,1,0.04911816,0.140901,6,BACK,0.6579,0.3164,DOWN,0.7673,85.0
1789896813.2237988,182,4.45,0,0,5,FORWARD,hold,1,0.05222894,0.063333,6,BACK,0.7125,0.4256,DOWN,0.7915,85.0
1789896813.3474135,184,9.13,0,0,5,FORWARD,hold,1,0.05064215,-0.030381,6,BACK,0.8411,0.6943,DOWN,0.8083,85.0
1789896813.409873,186,6.27,0,0,5,FORWARD,hold,1,0.03816377,-0.246403,5,FORWARD,0.4889,0.1601,BACK,0.6836,85.0
1789896813.5175796,188,11.82,0,0,5,FORWARD,hold,1,0.01215855,-0.681411,5,FORWARD,0.991,0.9884,BACK,0.6466,85.0
1789896813.5794015,190,10.63,0,0,5,FORWARD,hold,0,,,,,,,,,85.0
1789896813.6736302,192,2.97,0,0,5,FORWARD,hold,0,,,,,,,,,85.0
1789896813.7492151,194,14.31,0,0,5,FORWARD,hold,1,0.01632362,0.342564,5,FORWARD,0.6695,0.5285,FORWARD,0.6109,85.0
1789896813.8426213,196,5.08,0,0,5,FORWARD,hold,1,0.0280173,0.716365,5,FORWARD,0.7329,0.6376,FORWARD,0.6602,85.0
1789896813.9041288,198,1.03,0,0,5,FORWARD,hold,1,0.04283495,0.528875,5,FORWARD,0.694,0.5687,FORWARD,0.6991,85.0
1789896814.0131946,200,10.07,0,0,5,FORWARD,hold,1,0.052872,0.234319,5,FORWARD,0.4817,0.1734,DOWN-RIGHT-FORWARD,0.7183,85.0
1789896814.0750406,202,3.99,0,0,5,FORWARD,hold,1,0.05868859,0.110013,6,BACK,0.4632,0.1431,DOWN-RIGHT,0.7232,85.0
1789896814.1843557,204,14.79,0,0,5,FORWARD,hold,1,0.06295432,0.072684,6,BACK,0.5198,0.2498,DOWN-RIGHT,0.7326,85.0
1789896814.214279,206,1.0,0,0,5,FORWARD,hold,1,0.06601524,0.048621,6,BACK,0.5793,0.3798,DOWN-RIGHT,0.7395,85.0
1789896814.3387864,208,4.59,0,0,5,FORWARD,hold,1,0.06857294,0.038744,6,BACK,0.5776,0.3599,DOWN-RIGHT,0.7497,85.0
1789896814.415623,210,13.72,0,0,5,FORWARD,hold,1,0.06995544,0.020161,5,FORWARD,0.4816,0.1441,DOWN-RIGHT,0.7571,85.0
1789896814.5070713,212,6.16,0,0,5,FORWARD,hold,1,0.07140981,0.02079,6,BACK,0.5608,0.3106,DOWN-RIGHT,0.767,85.0
1789896814.585488,214,15.97,0,0,5,FORWARD,hold,1,0.071471,0.000857,6,BACK,0.6117,0.4305,DOWN-RIGHT,0.7757,85.0
1789896814.6787388,216,9.76,0,0,5,FORWARD,hold,1,0.07261835,0.016053,6,BACK,0.5889,0.4123,DOWN-RIGHT,0.783,85.0
1789896814.7397764,218,1.0,0,0,5,FORWARD,hold,1,0.07511185,0.034337,6,BACK,0.4431,0.0468,DOWN,0.7989,85.0
1789896814.8486116,220,10.98,0,0,5,FORWARD,hold,1,0.07906549,0.052637,5,FORWARD,0.5572,0.2441,DOWN,0.8205,85.0
1789896814.911169,222,8.56,0,0,5,FORWARD,hold,1,0.08115659,0.026448,6,BACK,0.548,0.2391,DOWN,0.8326,84.0
1789896815.0190685,224,14.51,0,0,5,FORWARD,hold,1,0.0840032,0.035076,6,BACK,0.5553,0.2485,DOWN,0.8449,84.0
1789896815.0814164,226,12.96,0,0,5,FORWARD,hold,1,0.08635387,0.027983,5,FORWARD,0.463,0.0482,DOWN,0.8572,84.0
1789896816.676485,264,6.09,0,1,6,BACK,hold,1,0.032112,-0.266408,6,BACK,0.935,0.8885,BACK,0.6324,84.0
1789896816.7534454,266,8.65,0,1,6,BACK,hold,1,0.02881979,-0.102523,6,BACK,0.9847,0.977,CENTER,0.5,84.0
1789896816.8457158,268,8.64,0,1,6,BACK,hold,1,0.02929325,0.016429,6,BACK,0.9953,0.9937,CENTER,0.5,84.0
1789896816.9073372,270,4.38,0,1,6,BACK,hold,1,0.03502379,0.195627,6,BACK,0.9942,0.9907,FORWARD,0.6978,84.0
1789896816.9862633,272,15.07,0,1,6,BACK,hold,1,0.03938933,0.124645,6,BACK,0.9988,0.9983,DOWN,0.7115,84.0
1789896817.0789595,274,7.91,0,1,6,BACK,hold,1,0.04332449,0.099904,6,BACK,0.9981,0.9973,DOWN,0.7301,84.0
1789896817.1411664,276,4.88,0,1,6,BACK,hold,1,0.04368392,0.008296,6,BACK,0.9993,0.9991,DOWN,0.7322,84.0
1789896817.2183058,278,8.11,0,1,6,BACK,hold,1,0.04282583,-0.019643,6,BACK,0.9992,0.9989,DOWN,0.7273,84.0
1789896817.312577,280,12.33,0,1,6,BACK,hold,1,0.04304693,0.005163,6,BACK,0.999,0.9986,DOWN,0.7298,84.0
1789896817.4058838,282,3.74,0,1,6,BACK,hold,1,0.04623972,0.07417,6,BACK,0.9979,0.9971,DOWN,0.7406,84.0
1789896817.4826407,284,14.3,0,1,6,BACK,hold,1,0.04873411,0.053945,6,BACK,0.9966,0.9956,DOWN,0.7548,84.0
1789896817.5762181,286,10.8,0,1,6,BACK,hold,1,0.04988012,0.023516,6,BACK,0.9911,0.9883,DOWN,0.7553,84.0
1789896817.639424,288,6.28,0,1,6,BACK,hold,1,0.05013894,0.005189,6,BACK,0.9925,0.9899,DOWN,0.7498,84.0
1789896817.7471461,290,14.96,0,1,6,BACK,hold,1,0.05129644,0.023086,6,BACK,0.9971,0.9961,DOWN,0.7501,84.0
1789896817.811124,292,10.59,0,1,6,BACK,hold,1,0.05190743,0.011911,6,BACK,0.9962,0.995,DOWN,0.7534,84.0
1789896817.903121,294,3.17,0,1,6,BACK,hold,1,0.05341044,0.028956,6,BACK,0.9954,0.9938,DOWN,0.7596,84.0
1789896817.9812999,296,15.31,0,1,6,BACK,hold,1,0.05424311,0.01559,6,BACK,0.9952,0.9936,DOWN,0.7641,84.0
1789896818.0870733,298,12.18,0,1,6,BACK,hold,1,0.05454321,0.005532,6,BACK,0.9939,0.992,DOWN,0.7683,84.0
1789896818.1494699,300,13.3,0,1,6,BACK,hold,1,0.05490592,0.00665,6,BACK,0.9965,0.9955,DOWN,0.7751,84.0
1789896818.2112448,302,1.0,0,1,6,BACK,hold,1,0.05453473,-0.00676,6,BACK,0.9958,0.9946,DOWN,0.777,84.0
1789896818.304393,304,1.03,0,1,6,BACK,hold,1,0.05380051,-0.013463,6,BACK,0.9939,0.992,DOWN,0.7735,84.0
1789896818.4126973,306,10.49,0,1,6,BACK,hold,1,0.05369429,-0.001974,6,BACK,0.9969,0.9961,DOWN,0.7756,84.0
1789896818.4740436,308,7.98,0,1,6,BACK,hold,1,0.05419317,0.009291,6,BACK,0.9968,0.9958,DOWN,0.7757,84.0
1789896818.5827508,310,15.23,0,1,6,BACK,hold,1,0.05500722,0.015021,6,BACK,0.9973,0.9965,DOWN,0.7773,84.0
1789896818.6445432,312,13.29,0,1,6,BACK,hold,1,0.05530125,0.005345,6,BACK,0.9968,0.9959,DOWN,0.7776,84.0
1789896818.7374547,314,3.52,0,1,6,BACK,hold,1,0.05461344,-0.012438,6,BACK,0.9956,0.9941,DOWN,0.772,84.0
1789896818.8140838,316,13.95,0,1,6,BACK,hold,1,0.05427622,-0.006175,6,BACK,0.9957,0.9944,DOWN,0.7722,84.0
1789896818.9070425,318,5.07,0,1,6,BACK,hold,1,0.0537098,-0.010436,6,BACK,0.9938,0.9918,DOWN,0.7676,84.0
1789896818.9686608,320,1.0,0,1,6,BACK,hold,1,0.0528715,-0.015608,6,BACK,0.9934,0.9912,DOWN,0.758,84.0
1789896819.0768888,322,5.72,0,1,6,BACK,hold,1,0.05349039,0.011706,6,BACK,0.997,0.9959,DOWN,0.7647,84.0
1789896819.1375606,324,3.97,0,1,6,BACK,hold,1,0.05333318,-0.002939,6,BACK,0.9971,0.9963,DOWN,0.7723,84.0
1789896819.2138975,326,3.71,0,1,6,BACK,hold,1,0.05341429,0.001521,6,BACK,0.9965,0.9953,DOWN,0.771,84.0
1789896819.307168,328,8.52,0,1,6,BACK,hold,1,0.05385409,0.008234,6,BACK,0.9966,0.9953,DOWN,0.7759,84.0
1789896819.4154034,330,9.37,0,1,6,BACK,hold,1,0.05423481,0.007069,6,BACK,0.9961,0.9942,DOWN,0.7782,84.0
1789896819.47699,332,9.76,0,1,6,BACK,hold,1,0.05434079,0.001954,6,BACK,0.9925,0.989,DOWN,0.773,84.0
1789896819.5710166,334,6.09,0,1,6,BACK,hold,1,0.05447541,0.002477,6,BACK,0.9907,0.9863,DOWN,0.7676,84.0
1789896821.1464624,372,11.71,0,2,4,DOWN,hold,1,0.05500376,-0.01574,6,BACK,0.5958,0.2122,DOWN,0.9514,84.0
1789896821.2241886,374,12.33,0,2,4,DOWN,hold,1,0.0692218,0.258492,4,DOWN,0.9989,0.9979,DOWN-FORWARD,1.0,84.0
1789896821.3018804,376,4.3,0,2,4,DOWN,hold,1,0.08515737,0.23021,4,DOWN,0.999,0.9981,DOWN-FORWARD,1.0,84.0
1789896821.4106545,378,6.68,0,2,4,DOWN,hold,1,0.09970297,0.170809,4,DOWN,0.9957,0.9919,DOWN,1.0,84.0
1789896821.473681,380,7.59,0,2,4,DOWN,hold,1,0.11147986,0.11812,4,DOWN,0.9985,0.9975,DOWN,1.0,84.0
1789896821.5812795,382,14.25,0,2,4,DOWN,hold,1,0.11852865,0.063229,4,DOWN,0.9989,0.9982,DOWN,1.0,84.0
1789896821.6433764,384,11.31,0,2,4,DOWN,hold,1,0.12236236,0.032344,4,DOWN,0.9996,0.9992,DOWN,1.0,84.0
1789896821.7368855,386,4.21,0,2,4,DOWN,hold,1,0.12459246,0.018225,4,DOWN,0.9996,0.9993,DOWN,1.0,84.0
1789896821.8150697,388,13.82,0,2,4,DOWN,hold,1,0.12728699,0.021627,4,DOWN,0.9996,0.9992,DOWN,1.0,84.0
1789896821.909493,390,8.4,0,2,4,DOWN,hold,1,0.12924502,0.015383,4,DOWN,0.9996,0.9992,DOWN,1.0,84.0
1789896821.9693644,392,1.02,0,2,4,DOWN,hold,1,0.13048552,0.009598,4,DOWN,0.9995,0.9991,DOWN,1.0,84.0
1789896822.077662,394,8.93,0,2,4,DOWN,hold,1,0.13108982,0.004631,4,DOWN,0.9994,0.9988,DOWN,1.0,84.0
1789896822.138617,396,3.98,0,2,4,DOWN,hold,1,0.13236248,0.009708,4,DOWN,0.9994,0.9987,DOWN,1.0,84.0
1789896822.216065,398,3.87,0,2,4,DOWN,hold,1,0.13282001,0.003457,4,DOWN,0.9997,0.9995,DOWN,1.0,84.0
1789896822.3090117,400,7.15,0,2,4,DOWN,hold,1,0.13328328,0.003488,4,DOWN,0.9996,0.9992,DOWN,1.0,84.0
1789896822.4018006,402,3.08,0,2,4,DOWN,hold,1,0.13302014,-0.001974,4,DOWN,0.9997,0.9995,DOWN,1.0,84.0
1789896822.4793062,404,13.55,0,2,4,DOWN,hold,1,0.13298179,-0.000288,4,DOWN,0.9997,0.9994,DOWN,1.0,84.0
1789896822.572312,406,5.33,0,2,4,DOWN,hold,1,0.13230077,-0.005121,4,DOWN,0.9997,0.9994,DOWN,1.0,84.0
1789896822.6493087,408,14.32,0,2,4,DOWN,hold,1,0.13188485,-0.003144,4,DOWN,0.9997,0.9995,DOWN,1.0,84.0
1789896822.7418551,410,7.22,0,2,4,DOWN,hold,1,0.13171665,-0.001275,4,DOWN,0.9995,0.9991,DOWN,1.0,84.0
1789896822.8038027,412,2.0,0,2,4,DOWN,hold,1,0.13095874,-0.005754,4,DOWN,0.9997,0.9994,DOWN,1.0,84.0
1789896822.911298,414,8.81,0,2,4,DOWN,hold,1,0.12965799,-0.009933,4,DOWN,0.9997,0.9995,DOWN,1.0,84.0
1789896822.973284,416,4.06,0,2,4,DOWN,hold,1,0.12891803,-0.005707,4,DOWN,0.9997,0.9995,DOWN,1.0,84.0
1789896823.0795996,418,12.61,0,2,4,DOWN,hold,1,0.12811218,-0.006251,4,DOWN,0.9995,0.999,DOWN,1.0,84.0
1789896823.140878,420,5.7,0,2,4,DOWN,hold,1,0.12673037,-0.010786,4,DOWN,0.9993,0.9987,DOWN,1.0,84.0
1789896823.2174373,422,8.03,0,2,4,DOWN,hold,1,0.1262444,-0.003835,4,DOWN,0.9994,0.9988,DOWN,1.0,84.0
1789896823.3107746,424,11.97,0,2,4,DOWN,hold,1,0.12578442,-0.003644,4,DOWN,0.9994,0.9988,DOWN,1.0,84.0
1789896823.405454,426,8.76,0,2,4,DOWN,hold,1,0.12416015,-0.012913,4,DOWN,0.9994,0.9989,DOWN,1.0,84.0
1789896823.466356,428,1.0,0,2,4,DOWN,hold,1,0.12202946,-0.017161,4,DOWN,0.9997,0.9994,DOWN,1.0,84.0
1789896823.5916252,430,14.31,0,2,4,DOWN,hold,1,0.12024998,-0.014582,4,DOWN,0.9994,0.9988,DOWN,1.0,84.0
1789896823.6367297,432,4.44,0,2,4,DOWN,hold,1,0.1183777,-0.01557,4,DOWN,0.9997,0.9994,DOWN,1.0,84.0
1789896823.7438085,434,9.67,0,2,4,DOWN,hold,1,0.11704313,-0.011274,4,DOWN,0.9996,0.9991,DOWN,1.0,84.0
1789896823.8054776,436,6.28,0,2,4,DOWN,hold,1,0.11598613,-0.009031,4,DOWN,0.9996,0.9991,DOWN,1.0,84.0
1789896823.9126425,438,9.8,0,2,4,DOWN,hold,1,0.11616794,0.001568,4,DOWN,0.9997,0.9994,DOWN,1.0,84.0
1789896823.974297,440,7.59,0,2,4,DOWN,hold,1,0.1166077,0.003786,4,DOWN,0.9991,0.9983,DOWN,1.0,84.0
1789896824.08362,442,15.63,0,2,4,DOWN,hold,1,0.11845292,0.015824,4,DOWN,0.9984,0.9969,DOWN,1.0,84.0
1789896825.6453831,480,8.01,0,3,0,CENTER,hold,1,0.04362435,-0.053353,6,BACK,0.9946,0.991,DOWN,0.8124,84.0
1789896825.7531583,482,12.95,0,3,0,CENTER,hold,1,0.04344705,-0.004064,6,BACK,0.952,0.9079,DOWN,0.7949,84.0
1789896825.8143635,484,8.96,0,3,0,CENTER,hold,1,0.04371473,0.006161,6,BACK,0.9983,0.9976,DOWN,0.7808,84.0
1789896825.9084907,486,2.0,0,3,0,CENTER,hold,1,0.04358519,-0.002963,6,BACK,0.9988,0.9984,DOWN,0.7763,84.0
1789896825.971151,488,1.45,0,3,0,CENTER,hold,1,0.04366987,0.001943,6,BACK,0.9959,0.9929,DOWN,0.7762,84.0
1789896826.0792613,490,8.79,0,3,0,CENTER,hold,1,0.03848554,-0.118716,2,RIGHT,0.2758,0.054,DOWN,0.7427,84.0
1789896826.1419387,492,2.03,0,3,0,CENTER,hold,1,0.04135356,0.074522,0,CENTER,0.3843,0.1878,CENTER,0.5,84.0
1789896826.2184577,494,9.47,0,3,0,CENTER,hold,1,0.0479125,0.158606,0,CENTER,0.7949,0.7343,CENTER,0.5,84.0
1789896826.311254,496,8.4,0,3,0,CENTER,hold,1,0.06460085,0.348309,0,CENTER,0.8645,0.8233,UP-FORWARD,0.7129,84.0
1789896826.4193127,498,14.25,0,3,0,CENTER,hold,1,0.07640072,0.182658,0,CENTER,0.852,0.8071,UP-FORWARD,0.8049,84.0
1789896826.481856,500,14.13,0,3,0,CENTER,hold,1,0.08436155,0.104198,0,CENTER,0.955,0.9403,UP,0.8635,84.0
1789896826.5760117,502,2.0,0,3,0,CENTER,hold,1,0.08995435,0.066296,0,CENTER,0.9637,0.9518,UP,0.9005,84.0
1789896826.636576,504,2.05,0,3,0,CENTER,hold,1,0.09360275,0.040558,0,CENTER,0.9435,0.9255,UP,0.9248,84.0
1789896826.7445955,506,8.47,0,3,0,CENTER,hold,1,0.09464241,0.011107,0,CENTER,0.9696,0.9592,UP,0.9427,84.0
1789896826.8057108,508,4.32,0,3,0,CENTER,hold,1,0.09515121,0.005376,0,CENTER,0.9625,0.9502,UP,0.9545,84.0
1789896826.9131694,510,10.54,0,3,0,CENTER,hold,1,0.09507793,-0.00077,0,CENTER,0.9846,0.9794,UP,0.9617,84.0
1789896826.9903784,512,7.68,0,3,0,CENTER,hold,1,0.09419778,-0.009257,0,CENTER,0.9851,0.9799,UP,0.965,84.0
1789896827.083803,514,14.99,0,3,0,CENTER,hold,1,0.09381956,-0.004015,0,CENTER,0.988,0.984,UP,0.9686,84.0
1789896827.1446853,516,8.83,0,3,0,CENTER,hold,1,0.09357223,-0.002636,0,CENTER,0.9823,0.9767,UP,0.9699,84.0
1789896827.2210839,518,12.14,0,3,0,CENTER,hold,1,0.09338628,-0.001987,0,CENTER,0.98,0.9736,UP,0.9707,84.0
1789896827.3141649,520,12.36,0,3,0,CENTER,hold,1,0.09315859,-0.002438,0,CENTER,0.9789,0.9724,UP,0.9707,84.0
1789896827.4068708,522,2.99,0,3,0,CENTER,hold,1,0.09279889,-0.003861,0,CENTER,0.9821,0.9767,UP,0.9693,84.0
1789896827.4680297,524,1.0,0,3,0,CENTER,hold,1,0.09278701,-0.000128,0,CENTER,0.9841,0.9792,UP,0.9689,84.0
1789896827.575876,526,5.96,0,3,0,CENTER,hold,1,0.0925095,-0.002991,0,CENTER,0.9832,0.9782,UP,0.9684,84.0
