t,seq,frame_age_ms,round,hold,cued_label,cued_name,phase,hand_detected,bbox_area,delta_s,svm_label,svm_name,svm_prob,svm_margin,rule_name,rule_conf,battery
1789896539.9146724,156,14.67,0,0,5,FORWARD,hold,0,,,,,,,,,90.0
1789896539.9751885,158,3.2,0,0,5,FORWARD,hold,0,,,,,,,,,90.0
1789896540.052906,160,13.18,0,0,5,FORWARD,hold,0,,,,,,,,,90.0
1789896540.1456397,162,5.83,0,0,5,FORWARD,hold,0,,,,,,,,,90.0
1789896540.2226534,164,14.71,0,0,5,FORWARD,hold,0,,,,,,,,,90.0
1789896540.3151941,166,6.95,0,0,5,FORWARD,hold,0,,,,,,,,,90.0
1789896540.3774812,168,6.98,0,0,5,FORWARD,hold,0,,,,,,,,,90.0
1789896540.4841516,170,7.1,0,0,5,FORWARD,hold,0,,,,,,,,,90.0
1789896540.5450695,172,5.07,0,0,5,FORWARD,hold,0,,,,,,,,,90.0
1789896540.637959,174,1.0,0,0,5,FORWARD,hold,1,0.01054038,1.095067,6,BACK,0.484,0.2984,FORWARD,0.6414,90.0
1789896540.7160692,176,7.97,0,0,5,FORWARD,hold,0,,,,,,,,,90.0
1789896540.8396077,178,14.2,0,0,5,FORWARD,hold,1,0.02109706,1.001546,2,RIGHT,0.6052,0.4848,FORWARD,0.6298,90.0
1789896540.8860085,180,10.96,0,0,5,FORWARD,hold,0,,,,,,,,,90.0
1789896540.9943106,182,14.07,0,0,5,FORWARD,hold,1,0.03309067,0.568497,6,BACK,0.4023,0.1706,FORWARD,0.6115,90.0
1789896541.0553415,184,14.13,0,0,5,FORWARD,hold,0,,,,,,,,,90.0
1789896541.1474297,186,5.04,0,0,5,FORWARD,hold,0,,,,,,,,,90.0
1789896541.2092679,188,4.99,0,0,5,FORWARD,hold,0,,,,,,,,,90.0
1789896541.3184278,190,12.54,0,0,5,FORWARD,hold,0,,,,,,,,,90.0
1789896541.3788638,192,8.41,0,0,5,FORWARD,hold,0,,,,,,,,,90.0
1789896541.4863415,194,14.08,0,0,5,FORWARD,hold,0,,,,,,,,,90.0
1789896541.5486653,196,8.43,0,0,5,FORWARD,hold,0,,,,,,,,,90.0
1789896541.641666,198,2.03,0,0,5,FORWARD,hold,0,,,,,,,,,90.0
1789896737.7096977,4906,41.8,0,0,5,FORWARD,hold,1,0.03301201,-0.002377,0,CENTER,0.5665,0.2578,UP,0.7051,85.0
1789896737.7686958,4908,2.99,0,0,5,FORWARD,hold,1,0.04966219,0.504367,0,CENTER,0.4664,0.0964,UP-FORWARD,0.7687,85.0
1789896737.8447478,4910,11.32,0,0,5,FORWARD,hold,1,0.06767366,0.36268,3,UP,0.4587,0.1302,UP-FORWARD,0.8115,85.0
1789896737.9374363,4912,3.08,0,0,5,FORWARD,hold,1,0.07839585,0.15844,3,UP,0.5205,0.1612,UP,0.8349,85.0
1789896738.0139105,4914,13.98,0,0,5,FORWARD,hold,1,0.08463806,0.079624,3,UP,0.5214,0.1733,UP,0.8495,85.0
1789896738.107206,4916,3.95,0,0,5,FORWARD,hold,1,0.08844181,0.044941,3,UP,0.4949,0.1693,UP,0.862,85.0
1789896738.1678982,4918,1.0,0,0,5,FORWARD,hold,1,0.09078613,0.026507,3,UP,0.5173,0.1786,UP,0.8698,85.0
1789896738.2772176,4920,11.97,0,0,5,FORWARD,hold,1,0.09233012,0.017007,3,UP,0.5378,0.2173,UP,0.8734,85.0
1789896738.339865,4922,8.84,0,0,5,FORWARD,hold,1,0.09367066,0.014519,3,UP,0.5632,0.2573,UP,0.8742,85.0
1789896738.4355133,4924,3.0,0,0,5,FORWARD,hold,1,0.0946425,0.010375,3,UP,0.5363,0.1697,UP,0.8726,85.0
1789896738.5127203,4926,1.03,0,0,5,FORWARD,hold,1,0.09490093,0.002731,3,UP,0.5955,0.2634,UP,0.8729,85.0
1789896738.604283,4928,4.86,0,0,5,FORWARD,hold,1,0.09583643,0.009858,3,UP,0.5538,0.1627,UP,0.8731,85.0
1789896738.665136,4930,1.0,0,0,5,FORWARD,hold,1,0.09619272,0.003718,3,UP,0.5147,0.0702,UP,0.8724,85.0
1789896738.773626,4932,8.54,0,0,5,FORWARD,hold,1,0.09733191,0.011843,3,UP,0.5606,0.1667,UP,0.8749,85.0
1789896738.835437,4934,3.89,0,0,5,FORWARD,hold,1,0.09762369,0.002998,3,UP,0.5715,0.1804,UP,0.8769,85.0
1789896740.4306257,4972,2.0,0,1,6,BACK,hold,1,0.11026829,-9.4e-05,3,UP,0.59,0.2195,UP,0.8846,85.0
1789896740.5078099,4974,12.64,0,1,6,BACK,hold,1,0.11004545,-0.002021,3,UP,0.5845,0.2196,UP,0.8846,85.0
1789896740.6158016,4976,14.17,0,1,6,BACK,hold,1,0.10950854,-0.004879,3,UP,0.6215,0.2651,UP,0.8823,85.0
1789896740.6777334,4978,14.12,0,1,6,BACK,hold,1,0.10907049,-0.004,3,UP,0.6571,0.3467,UP,0.883,85.0
1789896740.770811,4980,4.63,0,1,6,BACK,hold,1,0.10814863,-0.008452,3,UP,0.6365,0.3165,UP,0.8836,85.0
1789896740.832484,4982,3.02,0,1,6,BACK,hold,1,0.1076434,-0.004672,3,UP,0.6552,0.3484,UP,0.8842,85.0
1789896740.9421818,4984,10.99,0,1,6,BACK,hold,1,0.10733396,-0.002875,3,UP,0.6388,0.3233,UP,0.8849,85.0
1789896741.0024047,4986,2.69,0,1,6,BACK,hold,1,0.10740044,0.000619,3,UP,0.6485,0.3419,UP,0.8861,85.0
1789896741.1107526,4988,13.72,0,1,6,BACK,hold,1,0.10732476,-0.000705,3,UP,0.6346,0.3134,UP,0.886,85.0
1789896741.1721132,4990,2.0,0,1,6,BACK,hold,1,0.10717487,-0.001397,3,UP,0.6333,0.3001,UP,0.8854,85.0
1789896741.2650678,4992,2.03,0,1,6,BACK,hold,1,0.10579918,-0.012836,3,UP,0.604,0.226,UP,0.8822,85.0
