t,seq,dt_s,fps_inst,frame_age_ms,camera_to_command_ms,assoc_d,assoc_hands,assoc_mode,assoc_ms_ran,assoc_ok,assoc_reason,assoc_skeleton_hits,command_exec_ms,command_exec_ms_ran,face_detect_ms,face_detect_ms_ran,face_id_ms_ran,flying,hand_detect_ms,hand_detect_ms_ran,mode,mode_manager_ms,mode_manager_ms_ran
1790261344.912324,6,,,0.9992122650146484,0.13010000111535192,,0,,0,0,no_face,0,0.00799999907030724,1,,0,0,0,,0,hover,0.04260000059730373,1
1790261345.0265574,19,0.11423349380493164,8.753999958257676,0.9963512420654297,73.77590000032797,,0,,0,0,no_face,0,0.004900000931229442,1,,0,0,0,73.7200000003213,1,hover,0.020399998902576044,1
1790261345.0365026,43,0.009945154190063477,100.55148275118069,1.996755599975586,0.03930000093532726,,0,,0,0,no_face,0,0.0039000005926936865,1,,0,0,0,,0,hover,0.011699998140102252,1
1790261345.080662,45,0.0441594123840332,22.645228865445045,1.9812583923339844,38.41820000161533,,0,,0,0,no_face,0,0.004499997885432094,1,13.207399999373592,1,0,0,25.163300000713207,1,hover,0.019800001609837636,1
1790261345.0886405,55,0.007978439331054688,125.337795840306,2.9926300048828125,0.03680000008898787,,0,,0,0,no_face,0,0.0037999998312443495,1,,0,0,0,,0,hover,0.011199997970834374,1
1790261345.1215522,58,0.03291177749633789,30.384259862940265,3.9882659912109375,23.74490000147489,,0,,0,0,no_face,0,0.008799997885944322,1,,0,0,0,23.665600001550047,1,hover,0.03130000186502002,1
1790261345.127536,68,0.005983829498291016,167.117061120408,1.9948482513427734,0.040499999158782884,,0,,0,0,no_face,0,0.004099998477613553,1,,0,0,0,,0,hover,0.01300000076298602,1
1790261345.1674292,71,0.039893150329589844,25.06695991011451,2.9909610748291016,30.44650000083493,,0,,0,0,no_face,0,0.0040000013541430235,1,7.1470000002591405,1,0,0,23.26339999854099,1,hover,0.014799999917158857,1
1790261345.172416,84,0.004986763000488281,200.5308854465481,1.9936561584472656,0.04579999949783087,,0,,0,0,no_face,0,0.004400000761961564,1,,0,0,0,,0,hover,0.014199998986441642,1
1790261345.201375,87,0.028959035873413086,34.531536352634134,0.9984970092773438,21.69040000080713,,0,,0,0,no_face,0,0.007399998139590025,1,,0,0,0,21.61329999944428,1,hover,0.030499999411404133,1
1790261345.2060828,98,0.004707813262939453,212.4128431074648,2.096414566040039,0.0441999982285779,,0,,0,0,no_face,0,0.0038999969547148794,1,,0,0,0,,0,hover,0.014400000509340316,1
1790261345.2423007,101,0.03621792793273926,27.610635314563325,1.1081695556640625,30.197199997928692,,0,,0,0,no_face,0,0.00419999923906289,1,6.298699998296797,1,0,0,23.86130000013509,1,hover,0.015199999324977398,1
