run_id,scenario,trial,t_start,t_end,duration_s,mode_at_start,mode_at_end,battery_at_start,success
20260920-015011_n1_s67,search_starts_after_loss,1,1789861851.377486,1789861862.5814533,11.203967332839966,face,search_360,94.0,True
20260920-015011_n1_s67,target_reacquired_after_search,1,1789861863.0160987,1789861882.9306238,19.914525032043457,search_360,face,94.0,True
20260920-015011_n1_s67,search_starts_after_loss,2,1789861884.651291,1789861895.2769198,10.62562894821167,face,search_360,92.0,True
20260920-015011_n1_s67,target_reacquired_after_search,2,1789861896.065293,1789861915.0219467,18.956653594970703,search_360,gesture,90.0,True
20260920-015011_n1_s67,search_starts_after_loss,3,1789861916.552757,1789861927.9928908,11.440133810043335,gesture,search_360,88.0,True
20260920-015011_n1_s67,target_reacquired_after_search,3,1789861930.1930716,1789861950.7632143,20.57014274597168,search_360,gesture,86.0,True
20260920-015011_n1_s67,search_starts_after_loss,4,1789861953.0981288,1789861963.2839231,10.185794353485107,hover,search_360,83.0,True
20260920-015011_n1_s67,target_reacquired_after_search,4,1789861964.603745,1789861979.9852824,15.381537437438965,search_360,face,82.0,True
20260920-015011_n1_s67,search_starts_after_loss,5,1789861982.1774359,1789861992.5103967,10.332960844039917,hover,search_360,79.0,True
20260920-015011_n1_s67,target_reacquired_after_search,5,1789861993.5362804,1789862015.0760531,21.539772748947144,search_360,face,78.0,True
