t,seq,frame_age_ms,round,hold,cued_label,cued_name,phase,hand_detected,bbox_area,delta_s,svm_label,svm_name,svm_prob,svm_margin,rule_raw,rule_name,rule_conf,fb_stable_count,battery
1789908873.9852502,240,12.98,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908874.0792596,242,1.0,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908874.140499,244,1.96,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908874.2499046,246,9.15,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908874.295815,248,13.36,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908874.4196272,250,11.84,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908874.4805253,252,9.57,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908874.5884132,254,14.35,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908874.6501756,256,10.9,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908874.7581427,258,15.3,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908874.818545,260,9.78,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908874.9128919,262,3.99,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908877.8105917,332,3.99,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908877.9189837,334,9.43,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908877.98043,336,7.29,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908878.0882761,338,13.1,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908878.1501517,340,10.51,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908878.2424047,342,1.03,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908878.2884748,344,5.06,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908878.4143865,346,11.62,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908878.4746711,348,2.48,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908878.5832343,350,8.98,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908878.6460361,352,6.22,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908878.75423,354,15.21,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908878.8150218,356,8.36,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908878.9229252,358,13.7,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908878.9847689,360,12.4,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908879.0785978,362,3.07,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908879.140278,364,1.02,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908879.2486422,366,8.41,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908879.294806,368,13.21,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908879.420331,370,13.18,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908879.4799898,372,5.77,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908879.589592,374,14.31,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908879.6519268,376,12.64,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908879.7451136,378,7.98,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908879.807137,380,2.99,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908879.9154036,382,6.47,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908879.9775083,384,3.09,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908880.0874295,386,11.92,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908880.1483443,388,9.0,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908880.2549593,390,14.47,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908880.2869089,392,3.02,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908880.4109724,394,2.98,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908880.4875205,396,13.17,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908880.5502276,398,9.57,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908880.6433477,400,3.03,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908880.721335,402,15.25,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908880.8134282,404,7.35,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908880.8758104,406,5.82,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908880.9840193,408,9.29,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908881.0460649,410,4.11,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908881.1542945,412,12.85,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908881.2159295,414,7.98,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908881.2920675,416,8.11,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908881.3705664,418,1.06,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908881.4789114,420,7.25,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908881.5410407,422,2.67,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908881.6488366,424,9.12,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908881.7121525,426,5.71,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908881.8216233,428,12.36,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908881.882428,430,9.2,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908881.9761012,432,3.02,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908882.0525842,434,10.36,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908882.1441107,436,3.7,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908882.221717,438,13.73,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908882.283495,440,0.99,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908882.3770955,442,6.05,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908882.4856818,444,12.65,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908882.546262,446,7.08,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908882.6575708,448,15.29,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908882.7187743,450,11.19,0,0,5,FORWARD,hold,0,,,,,,,,,,0,100.0
1789908887.8129728,572,5.99,0,1,6,BACK,hold,0,,,,,,,,,,0,100.0
1789908887.8726487,574,1.0,0,1,6,BACK,hold,0,,,,,,,,,,0,100.0
1789908887.9964576,576,13.98,0,1,6,BACK,hold,0,,,,,,,,,,0,100.0
1789908888.041902,578,1.0,0,1,6,BACK,hold,0,,,,,,,,,,0,100.0
1789908888.1509128,580,10.05,0,1,6,BACK,hold,0,,,,,,,,,,0,100.0
1789908888.2121267,582,4.12,0,1,6,BACK,hold,0,,,,,,,,,,0,100.0
1789908888.2894871,584,7.09,0,1,6,BACK,hold,0,,,,,,,,,,0,100.0
1789908888.3827748,586,13.04,0,1,6,BACK,hold,0,,,,,,,,,,0,100.0
1789908888.47399,588,2.08,0,1,6,BACK,hold,0,,,,,,,,,,0,100.0
1789908888.5513399,590,11.13,0,1,6,BACK,hold,0,,,,,,,,,,0,100.0
1789908888.644576,592,2.99,0,1,6,BACK,hold,0,,,,,,,,,,0,100.0
1789908888.7200124,594,13.97,0,1,6,BACK,hold,0,,,,,,,,,,0,100.0
1789908888.8134282,596,4.41,0,1,6,BACK,hold,0,,,,,,,,,,0,100.0
1789908888.8898933,598,14.27,0,1,6,BACK,hold,0,,,,,,,,,,0,100.0
1789908888.9815722,600,8.25,0,1,6,BACK,hold,0,,,,,,,,,,0,100.0
1789908889.0440135,602,3.97,0,1,6,BACK,hold,0,,,,,,,,,,0,100.0
1789908889.151047,604,9.96,0,1,6,BACK,hold,0,,,,,,,,,,0,100.0
