t,seq,dt_s,fps_inst,frame_age_ms,camera_to_command_ms,command_exec_ms,command_exec_ms_ran,face_detect_ms,face_detect_ms_ran,face_id_ms,face_id_ms_ran,hand_detect_ms,hand_detect_ms_ran,mode,mode_manager_ms,mode_manager_ms_ran
1787925545.580558,,,,,0.03809999907389283,0.0049000082071870565,1,,0,,0,,0,hover,0.013200013199821115,1
1787925545.617374,,0.03681588172912598,27.162190691439413,,23.868199990829453,0.0042000028770416975,1,,0,,0,23.840000008931383,1,hover,0.01270000939257443,1
1787925545.6270487,,0.009674787521362305,103.36144311096872,,0.04019998596049845,0.00580001506023109,1,,0,,0,,0,hover,0.013699987903237343,1
1787925545.6985283,,0.07147955894470215,13.990013575400175,,24.027800012845546,0.0039000005926936865,1,7.817600009730086,1,,0,16.138100007083267,1,hover,0.009200011845678091,1
1787925545.7201116,,0.02158331871032715,46.33207772266837,,0.08410000009462237,0.0044000043999403715,1,,0,,0,,0,hover,0.010000017937272787,1
1787925545.7572238,,0.03711223602294922,26.945291018887318,,17.268800002057105,0.0041000021155923605,1,,0,,0,17.187300021760166,1,hover,0.00990001717582345,1
1787925545.7743065,,0.017082691192626953,58.53878576413119,,0.0790000194683671,0.0051000097300857306,1,,0,,0,,0,hover,0.010199990356341004,1
1787925545.8245587,,0.05025219917297363,19.899626612516784,,21.248299977742136,0.0044000043999403715,1,4.143400001339614,1,,0,17.028399975970387,1,hover,0.010000017937272787,1
1787925545.8365884,,0.012029647827148438,83.12795306801966,,0.089899986051023,0.00580001506023109,1,,0,,0,,0,hover,0.012999982573091984,1
1787925545.8820183,,0.04542994499206543,22.01191307131574,,15.679000003729016,0.0041000021155923605,1,,0,,0,15.612200018949807,1,hover,0.008100003469735384,1
1787925545.9010785,,0.019060134887695312,52.465525868107676,,0.07120001828297973,0.0045000051613897085,1,,0,,0,,0,hover,0.008899980457499623,1
1787925545.9502747,,0.04919624328613281,20.32675532121118,,19.96000000508502,0.0041000021155923605,1,4.288500000257045,1,,0,15.613499999744818,1,hover,0.008499977411702275,1
1787925545.9617126,,0.01143789291381836,87.42869054070955,,0.08080000407062471,0.0048000074457377195,1,,0,,0,,0,hover,0.009600014891475439,1
1787925546.0148318,,0.05311918258666992,18.825590893993663,,19.801199989160523,0.0036999990697950125,1,,0,,0,19.727899983990937,1,hover,0.009099981980398297,1
1787925546.0262523,,0.011420488357543945,87.56192981357383,,0.09970000246539712,0.005499983672052622,1,,0,,0,,0,hover,0.011099997209385037,1
