t,seq,dt_s,fps_inst,frame_age_ms,camera_to_command_ms,command_exec_ms,command_exec_ms_ran,face_detect_ms,face_detect_ms_ran,face_id_ms_ran,hand_detect_ms,hand_detect_ms_ran,mode,mode_manager_ms,mode_manager_ms_ran
1787925338.138883,,,,,0.1194999786093831,0.016000005416572094,1,,0,0,,0,hover,0.03709999145939946,1
1787925338.1808052,,0.04192209243774414,23.853771170535847,,33.54500001296401,0.006599992047995329,1,,0,0,33.502700011013076,1,hover,0.017900019884109497,1
1787925338.184759,,0.003953695297241211,252.92793825001507,,0.0501000031363219,0.009299983503296971,1,,0,0,,0,hover,0.016300007700920105,1
1787925338.2338474,,0.049088478088378906,20.371379169661765,,25.623900000937283,0.007399998139590025,1,6.325399997876957,1,0,19.273200014140457,1,hover,0.012699980288743973,1
1787925338.2417593,,0.007911920547485352,126.39156245291548,,0.06890000076964498,0.010399991879239678,1,,0,0,,0,hover,0.025599991204217076,1
1787925338.2996492,,0.05788993835449219,17.274159006293036,,24.335699999937788,0.0030999945010989904,1,,0,0,24.317099974723533,1,hover,0.007599999662488699,1
1787925338.3080182,,0.008368968963623047,119.48903196399066,,0.04220000118948519,0.00680002267472446,1,,0,0,,0,hover,0.014899997040629387,1
1787925338.366665,,0.05864667892456055,17.051263913619696,,25.256199995055795,0.004399975296109915,1,4.24480001674965,1,0,20.993999991333112,1,hover,0.009200011845678091,1
1787925338.3746762,,0.008011341094970703,124.82304624724719,,0.03480000304989517,0.005799985956400633,1,,0,0,,0,hover,0.012900010915473104,1
1787925338.4263022,,0.051625967025756836,19.3700972129217,,17.78979998198338,0.0037999998312443495,1,,0,0,17.769700003555045,1,hover,0.008500006515532732,1
1787925338.441217,,0.014914751052856445,67.04771648256789,,0.059600017266348004,0.011800002539530396,1,,0,0,,0,hover,0.020499981474131346,1
1787925338.4946218,,0.053404808044433594,18.72490580188932,,19.859799998812377,0.0036999990697950125,1,4.420799989020452,1,0,15.424300014274195,1,hover,0.008300004992634058,1
1787925338.5078747,,0.013252973556518555,75.45476460323457,,0.04270000499673188,0.007299997378140688,1,,0,0,,0,hover,0.015500001609325409,1
1787925338.557285,,0.049410343170166016,20.238677488153947,,16.01479999953881,0.0032999960239976645,1,,0,0,15.995599998859689,1,hover,0.008400005754083395,1
1787925338.5750067,,0.01772165298461914,56.4281447598547,,0.047900015488266945,0.008100003469735384,1,,0,0,,0,hover,0.016799982404336333,1
1787925338.6336505,,0.05864381790161133,17.052095784038706,,25.565499992808327,0.0039000005926936865,1,4.408499982673675,1,0,21.14100000471808,1,hover,0.008799979696050286,1
1787925338.6411114,,0.007460832595825195,134.03329818170198,,0.040399987483397126,0.006200018106028438,1,,0,0,,0,hover,0.01409999094903469,1
1787925338.6926138,,0.05150246620178223,19.416545919997038,,17.472799983806908,0.003100023604929447,1,,0,0,17.453599983127788,1,hover,0.008000002708286047,1
