t,seq,frame_age_ms,distance_m,face_raw,crop_ok,face_bbox_w,face_bbox_h,faceid_score,face_auth,embed_ms,battery,segment
1789899074.095171,1159,11.01,0.5,1,1,283,282,0.2658,0,7.593,100.0,1
1789899074.125085,1160,8.01,0.5,1,1,283,282,0.3763,0,7.6,100.0,1
1789899074.1569996,1161,4.02,0.5,1,1,283,282,0.3759,0,7.53,100.0,1
1789899074.218859,1162,1.02,0.5,1,1,283,282,0.2499,0,8.248,100.0,1
1789899074.2497165,1163,1.0,0.5,1,1,283,282,0.201,0,8.111,100.0,1
1789899074.2957299,1164,13.1,0.5,1,1,283,282,0.2008,0,8.54,100.0,1
1789899074.326544,1165,8.01,0.5,1,0,283,282,,,,100.0,1
1789899074.3889544,1166,6.94,0.5,1,0,283,282,,,,100.0,1
1789899074.4201677,1167,3.99,0.5,1,0,283,282,,,,100.0,1
1789899074.450701,1168,0.0,0.5,1,1,376,376,0.1957,0,8.744,100.0,1
1789899074.4975746,1169,13.96,0.5,1,1,376,376,0.1768,0,8.683,100.0,1
1789899074.5584123,1170,5.98,0.5,1,1,376,376,0.1287,0,6.385,100.0,1
1789899074.621794,1172,3.03,0.5,1,1,376,376,0.5161,0,6.457,100.0,1
1789899074.6536658,1173,2.99,0.5,1,1,376,376,0.7403,1,7.635,100.0,1
1789899074.7303236,1174,12.96,0.5,1,1,376,376,0.7279,1,8.364,100.0,1
1789899074.7772024,1175,8.98,0.5,1,1,376,376,0.7536,1,7.071,100.0,1
1789899074.7921631,1176,8.98,0.5,1,1,376,376,0.7496,1,9.601,100.0,1
1789899074.8230803,1177,1.99,0.5,1,0,376,376,,,,100.0,1
1789899074.8849473,1178,4.02,0.5,1,0,376,376,,,,100.0,1
1789899074.9309828,1179,9.05,0.5,1,0,376,376,,,,100.0,1
1789899074.9639466,1180,15.07,0.5,1,1,382,382,0.6917,1,10.627,100.0,1
1789899075.009991,1181,4.98,0.5,1,1,382,382,0.7224,1,9.623,100.0,1
1789899075.0558999,1182,2.03,0.5,1,1,382,382,0.7827,1,7.97,100.0,1
1789899075.0867834,1183,5.98,0.5,1,1,382,382,0.7659,1,8.398,100.0,1
1789899075.1182067,1184,4.99,0.5,1,1,382,382,0.7013,1,8.503,100.0,1
