t,seq,dt_s,fps_inst,frame_age_ms,camera_to_command_ms,command_exec_ms,command_exec_ms_ran,face_detect_ms,face_detect_ms_ran,face_id_ms,face_id_ms_ran,flying,hand_detect_ms,hand_detect_ms_ran,mode,mode_manager_ms,mode_manager_ms_ran
1787928205.7969296,7,,,0.9837150573730469,0.06120000034570694,0.0052000104915350676,1,,0,,0,0,,0,hover,0.03409999771974981,1
1787928205.8827055,16,0.08577585220336914,11.658292798176612,13.959169387817383,39.368300000205636,0.00589998671784997,1,,0,,0,0,39.32449998683296,1,hover,0.02269999822601676,1
1787928205.9046443,35,0.021938800811767578,45.58134278076029,3.984212875366211,0.029000017093494534,0.0050000089686363935,1,,0,,0,0,,0,hover,0.012599979527294636,1
1787928205.9814382,41,0.07679390907287598,13.02186608381947,5.013227462768555,44.670999981462955,0.011900003300979733,1,13.567300018621609,1,,0,0,30.555499979527667,1,hover,0.022499996703118086,1
1787928206.005409,58,0.023970842361450195,41.7173491411464,2.0313262939453125,1.589899999089539,0.017399986973032355,1,,0,,0,0,,0,hover,0.05600001895800233,1
1787928206.0596397,63,0.054230690002441406,18.439743251560714,3.9992332458496094,34.54920000513084,0.006199989002197981,1,,0,,0,0,33.95070001715794,1,hover,0.020500010577961802,1
1787928206.070525,78,0.010885238647460938,91.86753110215525,1.992940902709961,0.6975999858696014,0.010899995686486363,1,,0,,0,0,,0,hover,0.025999994250014424,1
1787928206.1154034,84,0.044878482818603516,22.282393191453192,0.9963512420654297,32.45329999481328,0.006699992809444666,1,7.442600006470457,1,,0,0,24.454699974739924,1,hover,0.02400000812485814,1
1787928206.1293657,103,0.013962268829345703,71.621597623032,1.9946098327636719,0.8385000110138208,0.006599992047995329,1,,0,,0,0,,0,hover,0.018699996871873736,1
1787928206.1729076,108,0.043541908264160156,22.966379744617473,1.0285377502441406,32.795900013297796,0.008500006515532732,1,,0,,0,0,32.467200013343245,1,hover,0.030499999411404133,1
1787928206.1830094,124,0.010101795196533203,98.99230587679962,0.5724430084228516,0.4322000022511929,0.00790000194683671,1,,0,,0,0,,0,hover,0.02500001573935151,1
1787928206.2273326,127,0.04432320594787598,22.561544875070602,4.2057037353515625,34.363599988864735,0.008200004231184721,1,6.569299992406741,1,,0,0,27.51650000573136,1,hover,0.02889998722821474,1
1787928206.2353196,128,0.007987022399902344,125.20310447761194,37.50944137573242,0.20710000535473228,0.00589998671784997,1,,0,,0,0,,0,hover,0.016600009985268116,1
1787928206.2836053,129,0.048285722732543945,20.710055548697692,1.5497207641601562,18.599299975903705,0.0050000089686363935,1,,0,,0,0,18.40739999897778,1,hover,0.016300007700920105,1
1787928206.302116,130,0.01851058006286621,54.02315846417393,2.6340484619140625,0.309199996991083,0.007599999662488699,1,,0,,0,0,,0,hover,0.025899993488565087,1
1787928206.3597574,131,0.05764150619506836,17.34860981279419,0.9975433349609375,26.56970001407899,0.0052000104915350676,1,5.44039998203516,1,,0,0,20.913200016366318,1,hover,0.018399994587525725,1
1787928206.3687308,132,0.008973360061645508,111.44097563567766,7.977724075317383,0.2993999805767089,0.008299975888803601,1,,0,,0,0,,0,hover,0.028300011763349175,1
1787928206.4523277,133,0.08359694480895996,11.962159649317943,1.9946098327636719,20.188800001051277,0.0042000028770416975,1,,0,,0,0,19.99699999578297,1,hover,0.015199999324977398,1
1787928206.4633074,134,0.010979652404785156,91.07756449231304,0.9949207305908203,0.18840000848285854,0.005099980626255274,1,,0,,0,0,,0,hover,0.015200028428807855,1
1787928206.527827,135,0.06451964378356934,15.499155626997764,1.0313987731933594,26.533199998084456,0.0051000097300857306,1,6.211800005985424,1,,0,0,20.124199974816293,1,hover,0.017099984688684344,1
1787928206.5371375,136,0.009310483932495117,107.40580266830555,4.370689392089844,0.21009999909438193,0.005499983672052622,1,,0,,0,0,,0,hover,0.01960000372491777,1
1787928206.5954988,137,0.05836129188537598,17.134644688195763,1.9955635070800781,19.21800000127405,0.0052000104915350676,1,,0,,0,0,18.968399992445484,1,hover,0.0185999961104244,1
1787928206.6314518,138,0.03595304489135742,27.814055889335403,1.9977092742919922,0.19799999427050352,0.0047000066842883825,1,,0,,0,0,,0,hover,0.015099998563528061,1
1787928206.6968791,139,0.06542730331420898,15.284139026754415,9.480714797973633,23.11750000808388,0.005599984433501959,1,4.764400015119463,1,,0,0,17.747000005329028,1,hover,0.01889999839477241,1
