t,seq,dt_s,fps_inst,frame_age_ms,camera_to_command_ms,assoc_d,assoc_hands,assoc_mode,assoc_ms,assoc_ms_ran,assoc_ok,assoc_pose_ms,assoc_pose_ms_ran,assoc_reason,assoc_skeleton_hits,command_exec_ms,command_exec_ms_ran,face_detect_ms,face_detect_ms_ran,face_id_ms,face_id_ms_ran,hand_detect_ms,hand_detect_ms_ran,mode,mode_manager_ms,mode_manager_ms_ran
1790161476.9301732,,,,,0.08359993807971478,,0,,,0,0,,,no_face,0,0.009100069291889668,1,,0,,0,,0,hover,0.019700033590197563,1
1790161477.0165486,,0.08637547492980957,11.577360365458134,,50.661299959756434,,0,,,0,0,,,no_face,0,0.009499955922365189,1,,0,,0,50.58039992582053,1,hover,0.026999972760677338,1
1790161477.0294325,,0.012883901596069336,77.61624012287422,,0.053600058890879154,,0,,,0,0,,,no_face,0,0.005800044164061546,1,,0,,0,,0,hover,0.012899981811642647,1
1790161477.0691807,,0.039748191833496094,25.15837712037237,,42.401199927553535,,0,,,0,0,,,no_face,0,0.005200039595365524,1,11.464999988675117,1,,0,30.901500023901463,1,hover,0.011499971151351929,1
1790161477.0891817,,0.020000934600830078,49.99766360710454,,0.04880002234131098,,0,,,0,0,,,no_face,0,0.004600035026669502,1,,0,,0,,0,hover,0.012999982573091984,1
1790161477.1141984,,0.02501678466796875,39.97316254955779,,28.85440003592521,,0,,,0,0,,,no_face,0,0.004100031219422817,1,,0,,0,28.818099992349744,1,hover,0.011399970389902592,1
1790161477.1357007,,0.021502256393432617,46.50674709215297,,0.07389998063445091,,0,,,0,0,,,no_face,0,0.007500057108700275,1,,0,,0,,0,hover,0.01859990879893303,1
1790161477.1763163,,0.04061555862426758,24.621106636768143,,35.148900002241135,,0,,,0,0,,,no_face,0,0.005300040356814861,1,8.166500017978251,1,,0,26.946599944494665,1,hover,0.012599979527294636,1
1790161477.1897082,,0.013391971588134766,74.67160405910629,,0.05089992191642523,,0,,,0,0,,,no_face,0,0.004999921657145023,1,,0,,0,,0,hover,0.012999982573091984,1
1790161477.213994,,0.02428579330444336,41.17633661227936,,28.86890002992004,,0,,,0,0,,,no_face,0,0.004800036549568176,1,,0,,0,28.832899988628924,1,hover,0.010699965059757233,1
1790161477.2369797,,0.02298569679260254,43.50531589374436,,0.07259997073560953,,0,,,0,0,,,no_face,0,0.008499948307871819,1,,0,,0,,0,hover,0.01910002902150154,1
1790161477.2856545,,0.048674821853637695,20.54450251522113,,37.647100049071014,,0,,,0,0,,,no_face,0,0.00500003807246685,1,8.263400057330728,1,,0,29.348699958063662,1,hover,0.012199976481497288,1
1790161477.2990296,,0.013375043869018555,74.76610991283268,,0.039899954572319984,,0,,,0,0,,,no_face,0,0.004200031980872154,1,,0,,0,,0,hover,0.010899966582655907,1
1790161477.3825753,,0.08354568481445312,11.969499109629698,,35.453000105917454,,0,,,0,0,,,no_face,0,0.004100031219422817,1,,0,,0,35.418700077570975,1,hover,0.010699965059757233,1
1790161477.39407,,0.011494636535644531,86.9970961586327,,0.041100080125033855,,0,,,0,0,,,no_face,0,0.0039000296965241432,1,,0,,0,,0,hover,0.010699965059757233,1
1790161477.444129,,0.05005908012390137,19.976395841172017,,38.89490000437945,,0,,,0,0,,,no_face,0,0.004400033503770828,1,7.609000080265105,1,,0,31.254899920895696,1,hover,0.010899966582655907,1
1790161477.4604986,,0.01636958122253418,61.08891769469407,,0.04439998883754015,,0,,,0,0,,,no_face,0,0.004599918611347675,1,,0,,0,,0,hover,0.012499978765845299,1
1790161477.5189686,,0.05847001075744629,17.102784607793964,,27.160099940374494,,0,,,0,0,,,no_face,0,0.004999921657145023,1,,0,,0,27.11949998047203,1,hover,0.013999990187585354,1
1790161477.528356,,0.009387493133544922,106.52471173871082,,0.040899962186813354,,0,,,0,0,,,no_face,0,0.00409991480410099,1,,0,,0,,0,hover,0.011300086043775082,1
1790161477.6260483,,0.09769225120544434,10.236226391149748,,69.45349997840822,,0,,,0,0,,,no_face,0,0.007300055585801601,1,9.754600003361702,1,,0,59.64850005693734,1,hover,0.017900019884109497,1
1790161477.6341066,,0.008058309555053711,124.0955057841948,,0.06969994865357876,,0,,,0,0,,,no_face,0,0.006200047209858894,1,,0,,0,,0,hover,0.017600017599761486,1
1790161477.6861074,,0.05200076103210449,19.230487788104003,,51.79059994406998,,0,,,0,0,,,no_face,0,0.004499917849898338,1,,0,,0,51.75270000472665,1,hover,0.012300093658268452,1
1790161477.7025557,,0.016448259353637695,60.796706721361375,,0.04139996599406004,,0,,,0,0,,,no_face,0,0.004500034265220165,1,,0,,0,,0,hover,0.011399970389902592,1
1790161477.7429066,,0.040350914001464844,24.782586088723974,,33.797900076024234,,0,,,0,0,,,no_face,0,0.004700035788118839,1,7.891500019468367,1,,0,25.870900019071996,1,hover,0.012499978765845299,1
1790161477.7538807,,0.01097416877746582,91.1230745834148,,0.06320001557469368,,0,,,0,0,,,no_face,0,0.020900042727589607,1,,0,,0,,0,hover,0.012399978004395962,1
