t,seq,dt_s,fps_inst,frame_age_ms,camera_to_command_ms,assoc_d,assoc_hands,assoc_mode,assoc_ms,assoc_ms_ran,assoc_ok,assoc_pose_ms,assoc_pose_ms_ran,assoc_reason,assoc_skeleton_hits,command_exec_ms,command_exec_ms_ran,face_detect_ms,face_detect_ms_ran,face_id_ms,face_id_ms_ran,hand_detect_ms,hand_detect_ms_ran,mode,mode_manager_ms,mode_manager_ms_ran
1790162022.7609105,,,,,0.07350009400397539,,0,,,0,0,,,no_face,0,0.006500049494206905,1,,0,,0,,0,hover,0.018799910321831703,1
1790162022.8456297,,0.08471918106079102,11.803702390400126,,57.27730004582554,,0,,,0,0,,,no_face,0,0.005600042641162872,1,,0,,0,57.22289998084307,1,hover,0.01819990575313568,1
1790162022.8517637,,0.006134033203125,163.02487562189054,,0.07890001870691776,,0,,,0,0,,,no_face,0,0.00970007386058569,1,,0,,0,,0,hover,0.020999927073717117,1
1790162022.909935,,0.05817127227783203,17.190615931931077,,53.7802999606356,,0,,,0,0,,,no_face,0,0.008599949069321156,1,15.157100046053529,1,,0,38.46199996769428,1,hover,0.01810002140700817,1
1790162022.9153888,,0.005453824996948242,183.3575519125683,,0.11269992683082819,,0,,,0,0,,,no_face,0,0.004400033503770828,1,,0,,0,,0,hover,0.01179997343569994,1
1790162022.9479825,,0.032593727111816406,30.680750212130967,,33.553200075402856,,0,,,0,0,,,no_face,0,0.005300040356814861,1,,0,,0,33.42400002293289,1,hover,0.012399978004395962,1
1790162022.9611473,,0.013164758682250977,75.96037452233914,,0.1482999650761485,,0,,,0,0,,,no_face,0,0.009199953638017178,1,,0,,0,,0,hover,0.01950003206729889,1
1790162023.0237956,,0.06264829635620117,15.962125998036276,,48.261300078593194,,0,,,0,0,,,no_face,0,0.004400033503770828,1,8.721100050024688,1,,0,39.44620001129806,1,hover,0.011499971151351929,1
1790162023.0306842,,0.006888628005981445,145.16678780327416,,0.1976999919861555,,0,,,0,0,,,no_face,0,0.010300078429281712,1,,0,,0,,0,hover,0.02319994382560253,1
1790162023.0733767,,0.04269242286682129,23.423360232317872,,36.12449998036027,,0,,,0,0,,,no_face,0,0.005700043402612209,1,,0,,0,36.006299895234406,1,hover,0.011699972674250603,1
1790162023.0913424,,0.01796579360961914,55.66133184701542,,0.14479993842542171,,0,,,0,0,,,no_face,0,0.0073999399319291115,1,,0,,0,,0,hover,0.017000013031065464,1
1790162023.1425693,,0.05122685432434082,19.521011258441504,,36.344600026495755,,0,,,0,0,,,no_face,0,0.004500034265220165,1,8.384499931707978,1,,0,27.87370001897216,1,hover,0.01109996810555458,1
1790162023.1605244,,0.01795506477355957,55.69459161587592,,0.17420004587620497,,0,,,0,0,,,no_face,0,0.00879995059221983,1,,0,,0,,0,hover,0.02110004425048828,1
1790162023.20606,,0.04553556442260742,21.96085658935023,,30.693399952724576,,0,,,0,0,,,no_face,0,0.007899943739175797,1,,0,,0,30.570199945941567,1,hover,0.017900019884109497,1
1790162023.2176473,,0.011587381362915039,86.30077570420362,,0.2269999822601676,,0,,,0,0,,,no_face,0,0.007999944500625134,1,,0,,0,,0,hover,0.020700041204690933,1
1790162023.2880967,,0.0704493522644043,14.194594667767678,,44.060599990189075,,0,,,0,0,,,no_face,0,0.006299931555986404,1,10.826700017787516,1,,0,33.11710001435131,1,hover,0.013899989426136017,1
1790162023.3109994,,0.022902727127075195,43.66292251798337,,0.10870001278817654,,0,,,0,0,,,no_face,0,0.005400041118264198,1,,0,,0,,0,hover,0.013699987903237343,1
1790162023.360129,,0.04912972450256348,20.354276563220342,,31.55239997431636,,0,,,0,0,,,no_face,0,0.004899920895695686,1,,0,,0,31.448099995031953,1,hover,0.01379998866468668,1
1790162023.3770368,,0.016907691955566406,59.14467821084099,,0.21189998369663954,,0,,,0,0,,,no_face,0,0.009299954399466515,1,,0,,0,,0,hover,0.022400054149329662,1
1790162023.418514,,0.041477203369140625,24.10962935712315,,47.92409995570779,,0,,,0,0,,,no_face,0,0.005699926987290382,1,10.262900032103062,1,,0,37.53179998602718,1,hover,0.013899989426136017,1
1790162023.451344,,0.032829999923706055,30.459945242884842,,0.1778999576345086,,0,,,0,0,,,no_face,0,0.007600057870149612,1,,0,,0,,0,hover,0.020300038158893585,1
1790162023.4934564,,0.04211235046386719,23.74600298926582,,34.31829996407032,,0,,,0,0,,,no_face,0,0.009400071576237679,1,,0,,0,34.15059996768832,1,hover,0.022099935449659824,1
1790162023.5160828,,0.022626399993896484,44.19616024952056,,0.2397999633103609,,0,,,0,0,,,no_face,0,0.011100084520876408,1,,0,,0,,0,hover,0.02819998189806938,1
1790162023.5919292,,0.07584643363952637,13.184535541284346,,62.83149996306747,,0,,,0,0,,,no_face,0,0.007899943739175797,1,11.616199975833297,1,,0,51.092499983496964,1,hover,0.013400102034211159,1
1790162023.6119685,,0.02003931999206543,49.90189289835933,,0.1841000048443675,,0,,,0,0,,,no_face,0,0.009100069291889668,1,,0,,0,,0,hover,0.02119992859661579,1
1790162023.670959,,0.058990478515625,16.951888256595964,,44.67299999669194,,0,,,0,0,,,no_face,0,0.007900060154497623,1,,0,,0,44.52369990758598,1,hover,0.017999904230237007,1
1790162023.6823483,,0.01138925552368164,87.80205149675528,,0.20899996161460876,,0,,,0,0,,,no_face,0,0.009199953638017178,1,,0,,0,,0,hover,0.024600070901215076,1
1790162023.7363884,,0.05404019355773926,18.504744971565465,,47.79810004401952,,0,,,0,0,,,no_face,0,0.005699926987290382,1,8.165300008840859,1,,0,39.51929998584092,1,hover,0.013900105841457844,1
1790162023.7567885,,0.020400047302246094,49.01949417979524,,0.19139994401484728,,0,,,0,0,,,no_face,0,0.009100069291889668,1,,0,,0,,0,hover,0.022799940779805183,1
1790162023.7943,,0.037511587142944336,26.658429465789556,,32.139599905349314,,0,,,0,0,,,no_face,0,0.02089992631226778,1,,0,,0,31.996099976822734,1,hover,0.013299984857439995,1
1790162023.8111823,,0.01688218116760254,59.234052168509656,,0.12089998926967382,,0,,,0,0,,,no_face,0,0.005699926987290382,1,,0,,0,,0,hover,0.014899997040629387,1
1790162023.85436,,0.04317784309387207,23.160026725418412,,36.067400011233985,,0,,,0,0,,,no_face,0,0.004199915565550327,1,8.621000102721155,1,,0,27.347899973392487,1,hover,0.011800089851021767,1
1790162023.888763,,0.03440284729003906,29.067361534623274,,0.2006998984143138,,0,,,0,0,,,no_face,0,0.008600065484642982,1,,0,,0,,0,hover,0.023399945348501205,1
1790162023.9400344,,0.05127143859863281,19.50403630817306,,39.393699960783124,,0,,,0,0,,,no_face,0,0.010100076906383038,1,,0,,0,39.22369994688779,1,hover,0.02329994458705187,1
1790162023.9566648,,0.01663041114807129,60.13080440984617,,0.16489997506141663,,0,,,0,0,,,no_face,0,0.0069999368861317635,1,,0,,0,,0,hover,0.017900019884109497,1
1790162024.0216568,,0.06499195098876953,15.38652071196936,,51.07419996056706,,0,,,0,0,,,no_face,0,0.004500034265220165,1,8.358599967323244,1,,0,42.605799972079694,1,hover,0.012299977242946625,1
1790162024.0374112,,0.01575446128845215,63.47408405090876,,0.22339995484799147,,0,,,0,0,,,no_face,0,0.009499955922365189,1,,0,,0,,0,hover,0.024499953724443913,1
1790162024.0826316,,0.045220375061035156,22.113925385410298,,29.208100051619112,,0,,,0,0,,,no_face,0,0.004100031219422817,1,,0,,0,29.11490004044026,1,hover,0.010499963536858559,1
1790162024.1027968,,0.020165205001831055,49.59037113231417,,0.11040002573281527,,0,,,0,0,,,no_face,0,0.004600035026669502,1,,0,,0,,0,hover,0.011699972674250603,1
1790162024.164982,,0.06218528747558594,16.08097414348373,,45.675800065509975,,0,,,0,0,,,no_face,0,0.004400033503770828,1,9.177099913358688,1,,0,36.398000083863735,1,hover,0.01109996810555458,1
1790162024.176242,,0.011260032653808594,88.80968916744304,,0.10269996710121632,,0,,,0,0,,,no_face,0,0.004499917849898338,1,,0,,0,,0,hover,0.011900090612471104,1
1790162024.2405212,,0.06427907943725586,15.557161190774686,,35.24550003930926,,0,,,0,0,,,no_face,0,0.004400033503770828,1,,0,,0,35.14799999538809,1,hover,0.011499971151351929,1
1790162024.2574527,,0.016931533813476562,59.061394615297964,,0.21660001948475838,,0,,,0,0,,,no_face,0,0.0097999582067132,1,,0,,0,,0,hover,0.02519995905458927,1
