t,mode,command,det_reason,gesture,gesture_conf,face_raw,face_auth,hand_raw,hand_auth,battery,altitude_cm,llm_reason,llm_latency_ms,assoc_d,assoc_hands,assoc_mode,assoc_ok,assoc_reason,assoc_skeleton_hits,crop_ok,face_bbox_h,face_bbox_w,faceid_enrolled,faceid_enrolling,faceid_progress,faceid_score,flying
1790163038.7943277,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,,,,,,0,,0,no_face,0,False,,,False,False,0/20,-1.0,False
1790163039.330479,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,,,,,,1,,0,no_face,0,True,170,170,False,False,0/20,-1.0,False
1790163039.884729,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,,,,,,1,,0,no_face,0,True,172,172,False,False,0/20,-1.0,False
1790163040.4388542,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,,,,,,1,,0,no_face,0,True,169,169,False,False,0/20,-1.0,False
1790163040.9884162,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,,,,,,1,,0,no_face,0,True,172,172,False,False,0/20,-1.0,False
1790163041.5369594,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,,,,,,1,,0,no_face,0,True,162,162,False,False,0/20,-1.0,False
1790163042.0879157,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,,,,,,1,,0,no_face,0,True,169,169,False,False,0/20,-1.0,False
1790163042.6457844,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,,,,,,1,,0,no_face,0,True,177,177,False,False,0/20,-1.0,False
1790163043.1755443,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,,,,,,1,,0,no_face,0,True,182,182,False,False,0/20,-1.0,False
1790163043.743263,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,,,,,,1,,0,no_face,0,True,176,176,False,False,0/20,-1.0,False
1790163044.2264934,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,,0,,0,no_face,0,True,172,172,False,False,0/20,-1.0,False
1790163044.8021421,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,,0,,0,no_face,0,True,182,182,False,True,6/20,-1.0,False
1790163045.3230567,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,,0,,0,no_face,0,True,182,182,False,True,16/20,-1.0,False
1790163045.9288197,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,,,,,,0,,0,no_hand,0,True,184,184,True,False,0/20,0.9829015135765076,False
1790163046.4353838,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,,,,,,0,,0,no_hand,0,True,177,177,True,False,0/20,0.8583173155784607,False
1790163047.1922605,face,ground,Perception: face_detected -> face,FACE,,True,True,True,False,,,,,,1,held,0,held,0,True,155,155,True,False,0/20,0.368905246257782,False
1790163047.6973064,face,ground,Perception: face_detected -> face,FACE,,True,True,True,False,,,,,,1,held,0,held,0,True,156,156,True,False,0/20,0.7653341293334961,False
1790163048.3760183,face,ground,Perception: face_detected -> face,FACE,,True,True,True,False,,,,,,1,pose,0,arm_not_visible(elbow),8,True,165,165,True,False,0/20,0.7576456665992737,False
1790163048.859919,face,ground,Perception: face_detected -> face,FACE,,True,True,True,False,,,,,,1,held,0,held,0,True,168,168,True,False,0/20,0.2145155966281891,False
1790163049.5435991,face,ground,Perception: face_detected -> face,FACE,,True,True,True,False,,,,,,1,pose,0,arm_not_visible(elbow),8,True,170,170,True,False,0/20,0.7336121797561646,False
1790163050.0552523,face,ground,Perception: face_detected -> face,FACE,,True,True,True,False,,,,,,1,held,0,held,0,True,172,172,True,False,0/20,0.8424146175384521,False
1790163050.66993,face,ground,Perception: face_detected -> face,FACE,,True,True,True,False,,,,,,1,held,0,held,0,True,178,178,True,False,0/20,0.7252997159957886,False
1790163051.2855077,face,ground,Perception: face_detected -> face,FACE,,True,True,True,False,,,,,,1,held,0,held,0,True,178,178,True,False,0/20,0.7588857412338257,False
1790163051.9067295,face,ground,Perception: face_detected -> face,FACE,,True,True,True,False,,,,,,1,held,0,held,0,True,175,175,True,False,0/20,0.8005671501159668,False
1790163052.524081,face,ground,Perception: face_detected -> face,FACE,,True,True,True,False,,,,,,1,pose,0,arm_not_visible(elbow),8,True,166,166,True,False,0/20,0.32954272627830505,False
1790163052.9470763,face,ground,Perception: face_detected -> face,HOVER,,True,False,False,False,,,,,,0,,0,no_face,0,True,191,191,True,False,0/20,0.08731324225664139,False
1790163053.4902604,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,,0,,0,no_face,0,False,191,191,True,False,0/20,0.08339625597000122,False
1790163054.008893,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,,0,,0,no_face,0,True,123,123,True,False,0/20,0.22963279485702515,False
1790163054.5896652,face,ground,Perception: face_detected -> face,FACE,,True,True,True,False,,,,,,1,held,0,held,0,True,95,95,True,False,0/20,0.1524384319782257,False
1790163055.203987,gesture,ground,Perception: hand_detected -> gesture (preempts face),CENTER,,True,True,True,True,,,,,,1,held,1,held,0,True,92,92,True,False,0/20,0.6557869911193848,False
1790163055.7044196,gesture,ground,Perception: hand_detected -> gesture (preempts face),CENTER,,True,True,True,True,,,,,,1,held,1,held,0,True,86,86,True,False,0/20,0.7857279777526855,False
1790163056.2641404,gesture,ground,Perception: hand_detected -> gesture (preempts face),CENTER,,True,True,True,True,,,,,,1,iou,1,ok,0,True,85,85,True,False,0/20,0.8276569843292236,False
1790163056.787422,gesture,ground,Perception: hand_detected -> gesture (preempts face),CENTER,,True,True,True,True,,,,,,1,held,1,held,0,True,90,90,True,False,0/20,0.7306773662567139,False
1790163057.324742,gesture,ground,Perception: hand_detected -> gesture (preempts face),CENTER,,True,True,True,True,,,,,,1,held,1,held,0,True,89,89,True,False,0/20,0.7999269962310791,False
1790163057.8166108,gesture,ground,Perception: hand_detected -> gesture (preempts face),CENTER,,True,True,True,True,,,,,,1,held,1,held,0,True,92,92,True,False,0/20,0.7271556258201599,False
1790163058.336763,gesture,ground,Perception: hand_detected -> gesture (preempts face),CENTER,,True,True,True,True,,,,,,1,held,1,held,0,True,90,90,True,False,0/20,0.8064645528793335,False
1790163058.9148424,gesture,ground,Perception: hand_detected -> gesture (preempts face),CENTER,,True,True,True,True,,,,,,1,held,1,held,0,True,90,90,True,False,0/20,0.7910001873970032,False
1790163059.4690118,gesture,ground,Perception: hand_detected -> gesture (preempts face),CENTER,,True,True,True,True,,,,,,1,held,1,held,0,True,88,88,True,False,0/20,0.8163454532623291,False
1790163060.045031,gesture,ground,Perception: hand_detected -> gesture (preempts face),CENTER,,True,True,True,True,,,,,,1,iou,1,ok,0,True,86,86,True,False,0/20,0.8738133907318115,False
1790163060.5337746,gesture,ground,Perception: hand_detected -> gesture (preempts face),CENTER,,True,True,True,True,,,,,,1,iou,1,ok,0,True,87,87,True,False,0/20,0.8461744785308838,False
