t,seq,frame_age_ms,round,hold,cued_label,cued_name,phase,hand_detected,bbox_area,delta_s,svm_label,svm_name,svm_prob,svm_margin,rule_name,rule_conf,battery
1789896784.5902257,156,3.07,0,0,5,FORWARD,hold,1,0.03545978,0.015735,6,BACK,0.4894,0.1345,DOWN,0.8483,85.0
1789896784.6986096,158,11.59,0,0,5,FORWARD,hold,1,0.03495065,-0.014358,6,BACK,0.512,0.1974,DOWN,0.8476,85.0
1789896784.7609742,160,5.73,0,0,5,FORWARD,hold,1,0.03509336,0.004083,6,BACK,0.4563,0.076,DOWN,0.8416,85.0
1789896784.8689308,162,12.08,0,0,5,FORWARD,hold,1,0.03252343,-0.073231,6,BACK,0.664,0.4836,DOWN,0.8305,85.0
1789896784.9304478,164,10.62,0,0,5,FORWARD,hold,1,0.02932651,-0.098296,6,BACK,0.8719,0.804,DOWN,0.8187,85.0
1789896785.023396,166,3.11,0,0,5,FORWARD,hold,1,0.0257593,-0.121638,6,BACK,0.9415,0.8994,DOWN,0.7801,85.0
1789896785.0853057,168,1.0,0,0,5,FORWARD,hold,1,0.02273434,-0.117432,2,RIGHT,0.5889,0.2427,DOWN,0.7428,85.0
1789896785.192527,170,5.08,0,0,5,FORWARD,hold,1,0.01155963,-0.491534,2,RIGHT,0.9877,0.977,DOWN-BACK,0.7071,85.0
1789896785.270482,172,15.7,0,0,5,FORWARD,hold,1,0.01250779,0.082023,6,BACK,0.9794,0.9634,CENTER,0.5,85.0
1789896785.361183,174,6.83,0,0,5,FORWARD,hold,1,0.01530189,0.223389,6,BACK,0.6039,0.3096,FORWARD,0.6808,85.0
1789896785.4241598,176,7.3,0,0,5,FORWARD,hold,1,0.01896953,0.239685,6,BACK,0.8026,0.7188,FORWARD,0.681,85.0
1789896785.5300314,178,10.85,0,0,5,FORWARD,hold,1,0.02167917,0.142842,6,BACK,0.5867,0.41,CENTER,0.5,85.0
1789896785.5911667,180,5.03,0,0,5,FORWARD,hold,1,0.02335924,0.077497,6,BACK,0.8193,0.7615,CENTER,0.5,85.0
1789896785.7006533,182,13.24,0,0,5,FORWARD,hold,1,0.02453599,0.050376,6,BACK,0.8073,0.7506,CENTER,0.5,85.0
1789896785.7629504,184,10.87,0,0,5,FORWARD,hold,1,0.02552729,0.040402,6,BACK,0.8146,0.7424,CENTER,0.5,85.0
1789896785.8559334,186,2.03,0,0,5,FORWARD,hold,1,0.02688228,0.05308,6,BACK,0.8624,0.7981,CENTER,0.5,85.0
1789896785.9171643,188,0.0,0,0,5,FORWARD,hold,1,0.02810342,0.045426,6,BACK,0.7732,0.669,CENTER,0.5,85.0
1789896786.026482,190,6.16,0,0,5,FORWARD,hold,1,0.02898104,0.031228,6,BACK,0.7184,0.5884,CENTER,0.5,85.0
